,industry_code_wage,industry_title_wage,recovery_wage,peak_wage,growth_wage,growth_pcg_wage,recovery_empl,peak_empl,growth_empl,growth_pcg_empl
72,481,Air transportation,2007.25,0.0,0.0,,2007.25,6420.0,-720.0,-11.214953271028037
73,482,Rail transportation,2007.25,0.0,0.0,,2012.5,103.0,5.0,4.854368932038835
74,483,Water transportation,2010.25,0.0,576.0,inf,2009.25,1811.0,290.0,16.01325234676974
75,484,Truck transportation,2010.25,0.0,0.0,,2015.0,120273.0,178.0,0.14799664097511495
76,485,Transit and ground passenger transportation,2010.0,509.0,-384.0,-75.44204322200393,2009.25,18261.0,1717.0,9.402551886534145
77,486,Pipeline transportation,2009.25,998.0,140.0,14.02805611222445,2009.25,2529.0,227.0,8.975879794385131
78,487,Scenic and sightseeing transportation,2010.0,549.0,31.0,5.646630236794172,2014.75,3050.0,2.0,0.06557377049180328
79,488,Support activities for transportation,2011.0,938.0,76.0,8.102345415778252,2010.75,41253.0,2408.0,5.837151237485759
80,491,Postal service,2010.0,522.0,68.0,13.026819923371647,2007.25,30514.0,-1372.0,-4.496296781805073
81,492,Couriers and messengers,2007.25,0.0,0.0,,2010.75,16474.0,1380.0,8.376836226781595
82,493,Warehousing and storage,2009.75,635.0,71.0,11.181102362204724,2012.0,15297.0,873.0,5.707001372818199
83,511,"Publishing industries, except internet",2007.25,889.0,-511.0,-57.48031496062992,2014.25,36275.0,1593.0,4.39145416953825
84,512,Motion picture and sound recording industries,2010.0,544.0,87.0,15.992647058823529,2013.75,27150.0,2629.0,9.683241252302025
85,515,"Broadcasting, except internet",2009.25,0.0,676.0,inf,2007.25,10013.0,-264.0,-2.63657245580745
86,517,Telecommunications,2010.0,972.0,115.0,11.831275720164609,2009.25,47724.0,-7788.0,-16.318833291425697
87,518,"Data processing, hosting and related services",2009.5,1007.0,-54.0,-5.362462760675273,2010.25,14186.0,2684.0,18.920062032990273
88,519,Other information services,2010.0,519.0,54.0,10.404624277456648,2009.25,11976.0,7367.0,61.51469605878424
89,521,Monetary authorities - central bank,2010.25,1637.0,826.0,50.45815516188149,2010.0,422.0,-129.0,-30.568720379146917
90,522,Credit intermediation and related activities,2010.0,1058.0,80.0,7.561436672967864,2007.25,207943.0,-27581.0,-13.263730926263447
91,523,"Securities, commodity contracts, investments",2007.25,1148.0,-1148.0,-100.0,2011.0,93533.0,8250.0,8.820416323650477
92,524,Insurance carriers and related activities,2009.5,1008.0,333.0,33.035714285714285,2014.75,188046.0,1872.0,0.9955011007944865
93,525,"Funds, trusts, and other financial vehicles",2009.75,1201.0,-1201.0,-100.0,2010.0,7707.0,-4190.0,-54.36616063319061
94,531,Real estate,2009.5,319.0,-4.0,-1.2539184952978055,2007.25,311803.0,-4777.0,-1.5320571001561885
95,532,Rental and leasing services,2013.25,398.0,142.0,35.678391959798994,2007.25,63298.0,-9021.0,-14.251635122752692
