,industry_code_wage,recovery_wage,peak_wage,growth_wage,growth_pcg_wage,recovery_empl,peak_empl,growth_empl,growth_pcg_empl
count,2447.0,2447.0,2363.0,2160.0,1626.0,2447.0,2363.0,2160.0,2160.0
mean,231954.95055169595,2009.5292194523906,689.3288192975032,29.65462962962963,inf,2008.9701675521046,30612.736352094795,909.4745370370371,4.802462263369353
std,232524.93034365712,1.8168839751203576,636.7717684876135,472.3662549456201,,2.0777947646325425,262738.894992705,40881.415813717234,135.9204477047208
min,10.0,2007.25,0.0,-5680.0,-100.0,2007.25,4.0,-429270.0,-83.05139255161768
25%,32521.5,2007.25,0.0,0.0,0.3589631474807434,2007.25,664.5,-285.75,-10.174763193085166
50%,112920.0,2010.0,696.0,45.5,11.030782845042825,2009.25,2985.0,-5.0,-0.7240547063555913
75%,337124.5,2010.25,1023.0,138.0,18.066561014263076,2010.0,11364.0,355.5,8.998464045784216
max,999999.0,2015.0,5680.0,2153.0,inf,2015.0,9131473.0,640458.0,5915.449438202247
