industry_code,2007.1,2007.2,2007.3,2007.4,2008.1,2008.2,2008.3,2008.4,2009.1,2009.2,2009.3,2009.4,2010.1,2010.2,2010.3,2010.4,2011.1,2011.2,2011.3,2011.4,2012.1,2012.2,2012.3,2012.4,2013.1,2013.2,2013.3,2013.4,2014.1,2014.2,2014.3,2014.4
62,14996767.0,15185265.0,15236620.0,15416440.0,15444056.0,15594673.0,15651746.0,15833969.0,15784634.0,15922007.0,15929697.0,16096716.0,16084995.0,16198697.0,16229048.0,16402841.0,16368231.0,16481651.0,16574165.0,16696059.0,16692382.0,16810444.0,16853528.0,17027597.0,17477033.0,17557640.0,17613381.0,17787030.0,17739824.0,17892444.0,17966779.0,18185677.0
71,1795893.0,2203174.0,2032044.0,1838781.0,1832506.0,2231951.0,2042379.0,1812411.0,1773504.0,2158654.0,2007399.0,1763648.0,1736408.0,2138150.0,1995501.0,1774122.0,1759747.0,2156307.0,2009839.0,1791512.0,1824347.0,2228922.0,2045088.0,1850568.0,1871574.0,2278160.0,2100208.0,1914741.0,1923359.0,2354010.0,2164290.0,1979028.0
72,11153426.0,11698407.0,11541288.0,11342009.0,11288753.0,11765645.0,11534489.0,11150569.0,10949939.0,11391717.0,11189498.0,10861552.0,10816428.0,11395281.0,11310248.0,11086871.0,11091855.0,11671128.0,11607578.0,11358118.0,11484621.0,12101809.0,11987041.0,11790989.0,11838074.0,12508740.0,12394828.0,12183634.0,12225336.0,12879664.0,12732039.0,12535871.0
81,4402263.0,4525072.0,4441072.0,4475007.0,4450274.0,4564990.0,4489979.0,4448087.0,4361271.0,4436115.0,4346088.0,4343428.0,4298281.0,4404233.0,4348377.0,4368295.0,4351267.0,4476163.0,4419072.0,4423109.0,4488025.0,4631097.0,4557529.0,4583585.0,4102057.0,4220076.0,4160940.0,4164997.0,4172491.0,4310915.0,4245874.0,4259732.0
92,3924128.0,4133661.0,4036322.0,4011906.0,4001969.0,4195346.0,4103632.0,4061835.0,3995942.0,4174235.0,4058057.0,3999153.0,3930224.0,4102548.0,3992147.0,3923920.0,3866974.0,4029090.0,3918012.0,3866707.0,3851072.0,4036348.0,3913696.0,3876751.0,3839734.0,4025965.0,3920674.0,3883757.0,3843029.0,4044698.0,3945923.0,3900531.0
99,237105.0,228605.0,219366.0,239273.0,244057.0,223370.0,211458.0,193210.0,165610.0,186592.0,184115.0,192565.0,175733.0,132505.0,154261.0,176442.0,182319.0,175952.0,167741.0,199786.0,156845.0,171701.0,188170.0,192408.0,160088.0,162781.0,156890.0,203460.0,198426.0,196771.0,235461.0,271773.0
101,22858720.0,23759184.0,23551646.0,22894771.0,22281854.0,22958701.0,22615005.0,21326100.0,19691456.0,19758636.0,19451389.0,18689180.0,18149341.0,19154425.0,19205603.0,18692416.0,18405998.0,19377482.0,19579297.0,19112243.0,18937247.0,19859316.0,19905055.0,19473631.0,19271254.0,20191730.0,20268141.0,19835383.0,19680934.0,20686016.0,20809900.0,20450631.0
102,89677994.0,91762878.0,91221156.0,92225920.0,90379253.0,91896609.0,90899625.0,90411370.0,87120472.0,88049525.0,87079904.0,87600051.0,85995795.0,88125671.0,87842492.0,88951780.0,87652390.0,89711476.0,89821571.0,90669180.0,89787595.0,91972030.0,91682510.0,92855024.0,91576477.0,93810449.0,93668563.0,94917607.0,93460095.0,95919851.0,95790695.0,97308841.0
111,475492.0,619340.0,606691.0,471055.0,472260.0,602438.0,610308.0,459104.0,452109.0,607253.0,607756.0,447933.0,445688.0,603466.0,606022.0,449711.0,449600.0,577742.0,610568.0,465716.0,474664.0,608252.0,620540.0,473232.0,480847.0,621614.0,621264.0,479265.0,489597.0,623580.0,632293.0,488151.0
112,216420.0,226324.0,226492.0,225430.0,224103.0,230336.0,228761.0,226278.0,223268.0,230010.0,226358.0,223369.0,219405.0,228775.0,228270.0,226526.0,224365.0,233956.0,234352.0,232622.0,231910.0,240636.0,238683.0,236249.0,233362.0,242436.0,240909.0,239017.0,238165.0,249275.0,248671.0,248644.0
